X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
591462.500,2871199.000,-55.99,0 (Created; never classified),,,,,,,1,1,,0,-55.99,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871199.000,-56.013,0 (Created; never classified),,,,,,,1,1,,0,-56.013,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871199.000,-56.037,0 (Created; never classified),,,,,,,1,1,,0,-56.037,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871199.000,-56.054,0 (Created; never classified),,,,,,,1,1,,0,-56.054,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871199.000,-56.066,0 (Created; never classified),,,,,,,1,1,,0,-56.066,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871199.500,-55.9,0 (Created; never classified),,,,,,,1,1,,0,-55.9,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871199.500,-55.929,0 (Created; never classified),,,,,,,1,1,,0,-55.929,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871199.500,-55.956,0 (Created; never classified),,,,,,,1,1,,0,-55.956,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871199.500,-55.977,0 (Created; never classified),,,,,,,1,1,,0,-55.977,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871199.500,-56.006,0 (Created; never classified),,,,,,,1,1,,0,-56.006,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871199.500,-56.032,0 (Created; never classified),,,,,,,1,1,,0,-56.032,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871199.500,-56.047,0 (Created; never classified),,,,,,,1,1,,0,-56.047,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871199.500,-56.066,0 (Created; never classified),,,,,,,1,1,,0,-56.066,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871200.000,-55.887,0 (Created; never classified),,,,,,,1,1,,0,-55.887,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871200.000,-55.917,0 (Created; never classified),,,,,,,1,1,,0,-55.917,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871200.000,-55.947,0 (Created; never classified),,,,,,,1,1,,0,-55.947,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871200.000,-55.966,0 (Created; never classified),,,,,,,1,1,,0,-55.966,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871200.000,-56.007,0 (Created; never classified),,,,,,,1,1,,0,-56.007,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871200.000,-56.033,0 (Created; never classified),,,,,,,1,1,,0,-56.033,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871200.000,-56.051,0 (Created; never classified),,,,,,,1,1,,0,-56.051,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871200.000,-56.074,0 (Created; never classified),,,,,,,1,1,,0,-56.074,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871200.500,-55.878,0 (Created; never classified),,,,,,,1,1,,0,-55.878,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871200.500,-55.912,0 (Created; never classified),,,,,,,1,1,,0,-55.912,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871200.500,-55.95,0 (Created; never classified),,,,,,,1,1,,0,-55.95,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871200.500,-55.973,0 (Created; never classified),,,,,,,1,1,,0,-55.973,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871200.500,-56.015,0 (Created; never classified),,,,,,,1,1,,0,-56.015,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871200.500,-56.04,0 (Created; never classified),,,,,,,1,1,,0,-56.04,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871200.500,-56.058,0 (Created; never classified),,,,,,,1,1,,0,-56.058,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871200.500,-56.078,0 (Created; never classified),,,,,,,1,1,,0,-56.078,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871201.000,-55.861,0 (Created; never classified),,,,,,,1,1,,0,-55.861,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871201.000,-55.904,0 (Created; never classified),,,,,,,1,1,,0,-55.904,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871201.000,-55.954,0 (Created; never classified),,,,,,,1,1,,0,-55.954,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871201.000,-55.989,0 (Created; never classified),,,,,,,1,1,,0,-55.989,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871201.000,-56.023,0 (Created; never classified),,,,,,,1,1,,0,-56.023,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871201.000,-56.047,0 (Created; never classified),,,,,,,1,1,,0,-56.047,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871201.000,-56.062,0 (Created; never classified),,,,,,,1,1,,0,-56.062,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871201.000,-56.078,0 (Created; never classified),,,,,,,1,1,,0,-56.078,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871201.500,-55.828,0 (Created; never classified),,,,,,,1,1,,0,-55.828,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871201.500,-55.883,0 (Created; never classified),,,,,,,1,1,,0,-55.883,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871201.500,-55.947,0 (Created; never classified),,,,,,,1,1,,0,-55.947,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871201.500,-56.006,0 (Created; never classified),,,,,,,1,1,,0,-56.006,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871201.500,-56.035,0 (Created; never classified),,,,,,,1,1,,0,-56.035,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871201.500,-56.054,0 (Created; never classified),,,,,,,1,1,,0,-56.054,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871201.500,-56.063,0 (Created; never classified),,,,,,,1,1,,0,-56.063,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871201.500,-56.077,0 (Created; never classified),,,,,,,1,1,,0,-56.077,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871202.000,-55.795,0 (Created; never classified),,,,,,,1,1,,0,-55.795,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871202.000,-55.798,0 (Created; never classified),,,,,,,1,1,,0,-55.798,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871202.000,-55.866,0 (Created; never classified),,,,,,,1,1,,0,-55.866,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871202.000,-55.948,0 (Created; never classified),,,,,,,1,1,,0,-55.948,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871202.000,-56.024,0 (Created; never classified),,,,,,,1,1,,0,-56.024,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871202.000,-56.049,0 (Created; never classified),,,,,,,1,1,,0,-56.049,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871202.000,-56.059,0 (Created; never classified),,,,,,,1,1,,0,-56.059,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871202.000,-56.066,0 (Created; never classified),,,,,,,1,1,,0,-56.066,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871202.000,-56.084,0 (Created; never classified),,,,,,,1,1,,0,-56.084,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871202.500,-55.78,0 (Created; never classified),,,,,,,1,1,,0,-55.78,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871202.500,-55.785,0 (Created; never classified),,,,,,,1,1,,0,-55.785,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871202.500,-55.901,0 (Created; never classified),,,,,,,1,1,,0,-55.901,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871202.500,-55.983,0 (Created; never classified),,,,,,,1,1,,0,-55.983,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871202.500,-56.042,0 (Created; never classified),,,,,,,1,1,,0,-56.042,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871202.500,-56.06,0 (Created; never classified),,,,,,,1,1,,0,-56.06,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871202.500,-56.07,0 (Created; never classified),,,,,,,1,1,,0,-56.07,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871202.500,-56.081,0 (Created; never classified),,,,,,,1,1,,0,-56.081,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871203.000,-55.761,0 (Created; never classified),,,,,,,1,1,,0,-55.761,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871203.000,-55.75,0 (Created; never classified),,,,,,,1,1,,0,-55.75,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871203.000,-55.828,0 (Created; never classified),,,,,,,1,1,,0,-55.828,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871203.000,-56.001,0 (Created; never classified),,,,,,,1,1,,0,-56.001,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871203.000,-56.047,0 (Created; never classified),,,,,,,1,1,,0,-56.047,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871203.000,-56.061,0 (Created; never classified),,,,,,,1,1,,0,-56.061,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871203.000,-56.076,0 (Created; never classified),,,,,,,1,1,,0,-56.076,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871203.000,-56.088,0 (Created; never classified),,,,,,,1,1,,0,-56.088,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871203.500,-55.745,0 (Created; never classified),,,,,,,1,1,,0,-55.745,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871203.500,-55.739,0 (Created; never classified),,,,,,,1,1,,0,-55.739,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871203.500,-55.987,0 (Created; never classified),,,,,,,1,1,,0,-55.987,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871203.500,-56.018,0 (Created; never classified),,,,,,,1,1,,0,-56.018,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871203.500,-56.047,0 (Created; never classified),,,,,,,1,1,,0,-56.047,0 (Created; never classified),,,,,,,1,1,,0
